commits_total,merge_conflicts,bus_factor,refactor_commits,fix_commits,feature_commits,docs_commits,test_commits,refactor_ratio,fix_ratio,feature_ratio,docs_ratio,test_ratio,active_days,team_size,kpi_score
247,17,4,94,109,81,36,52,0.25268817204301075,0.29301075268817206,0.21774193548387097,0.0967741935483871,0.13978494623655913,199,11,29.693769332744154
211,7,7,36,140,159,43,69,0.08053691275167785,0.3131991051454139,0.35570469798657717,0.09619686800894854,0.15436241610738255,191,15,53.313306365112936
148,20,3,84,127,155,7,79,0.18584070796460178,0.2809734513274336,0.34292035398230086,0.015486725663716814,0.1747787610619469,170,2,33.57655473390714
249,13,3,81,73,133,31,80,0.20351758793969849,0.18341708542713567,0.3341708542713568,0.07788944723618091,0.20100502512562815,261,5,35.27383492806498
469,2,2,37,32,193,9,51,0.11490683229813664,0.09937888198757763,0.5993788819875776,0.027950310559006212,0.15838509316770186,284,2,56.76308176635754
90,5,2,5,136,147,35,46,0.013550135501355014,0.3685636856368564,0.3983739837398374,0.0948509485094851,0.12466124661246612,320,3,38.88085161673535
85,10,4,35,138,41,0,48,0.13358778625954199,0.5267175572519084,0.15648854961832062,0.0,0.183206106870229,84,4,35.07053225975113
374,18,4,48,80,22,36,38,0.21428571428571427,0.35714285714285715,0.09821428571428571,0.16071428571428573,0.16964285714285715,161,7,31.196550880626226
308,3,6,21,142,188,29,44,0.049528301886792456,0.33490566037735847,0.44339622641509435,0.06839622641509434,0.10377358490566038,223,6,56.85668131300078
435,3,3,7,12,22,0,45,0.08139534883720931,0.13953488372093023,0.2558139534883721,0.0,0.5232558139534884,99,5,53.97244345332909
314,17,2,40,82,130,12,9,0.14652014652014653,0.30036630036630035,0.47619047619047616,0.04395604395604396,0.03296703296703297,265,15,35.384715740880125
101,19,6,6,89,165,35,37,0.018072289156626505,0.2680722891566265,0.49698795180722893,0.10542168674698796,0.11144578313253012,298,8,46.491830335038784
94,13,2,69,61,48,21,17,0.3194444444444444,0.2824074074074074,0.2222222222222222,0.09722222222222222,0.0787037037037037,153,4,14.007927447995947
414,9,5,53,22,85,5,49,0.24766355140186916,0.102803738317757,0.397196261682243,0.02336448598130841,0.22897196261682243,56,4,39.44002048393291
312,1,8,89,95,188,36,20,0.20794392523364486,0.2219626168224299,0.4392523364485981,0.08411214953271028,0.04672897196261682,219,15,55.273364485981304
390,8,7,56,116,135,19,26,0.1590909090909091,0.32954545454545453,0.3835227272727273,0.05397727272727273,0.07386363636363637,315,14,48.49404576587795
108,6,4,38,147,100,25,80,0.09743589743589744,0.3769230769230769,0.2564102564102564,0.0641025641025641,0.20512820512820512,182,12,50.121355813136624
217,13,4,38,95,52,40,29,0.14960629921259844,0.37401574803149606,0.2047244094488189,0.15748031496062992,0.1141732283464567,159,9,38.3946176248517
83,6,6,58,122,139,41,75,0.13333333333333333,0.28045977011494255,0.3195402298850575,0.09425287356321839,0.1724137931034483,160,4,53.111321051802875
360,0,2,13,86,194,49,69,0.031630170316301706,0.20924574209245742,0.4720194647201946,0.1192214111922141,0.1678832116788321,209,6,50.838682798386834
226,18,7,7,128,22,40,54,0.027888446215139442,0.5099601593625498,0.08764940239043825,0.1593625498007968,0.2151394422310757,219,9,38.199203187250994
474,11,7,72,57,100,38,52,0.22570532915360503,0.1786833855799373,0.31347962382445144,0.11912225705329153,0.16300940438871472,78,5,38.3412204234122
471,6,5,50,124,86,7,33,0.16666666666666666,0.41333333333333333,0.2866666666666667,0.023333333333333334,0.11,31,3,44.19132420091324
208,8,7,40,124,106,19,7,0.13513513513513514,0.4189189189189189,0.3581081081081081,0.06418918918918919,0.02364864864864865,328,3,48.945853387634216
458,5,2,65,79,153,10,67,0.17379679144385027,0.21122994652406418,0.4090909090909091,0.026737967914438502,0.17914438502673796,134,14,39.982675261885575
125,2,3,91,44,140,19,47,0.2668621700879765,0.12903225806451613,0.41055718475073316,0.05571847507331378,0.1378299120234604,228,11,41.59542843369622
199,8,5,13,21,137,17,46,0.05555555555555555,0.08974358974358974,0.5854700854700855,0.07264957264957266,0.19658119658119658,207,4,56.51937712211685
308,10,7,10,72,170,50,56,0.027932960893854747,0.2011173184357542,0.4748603351955307,0.13966480446927373,0.1564245810055866,317,8,49.202800948955385
382,6,8,86,28,147,20,23,0.28289473684210525,0.09210526315789473,0.48355263157894735,0.06578947368421052,0.0756578947368421,211,11,42.8871214852199
472,18,7,95,31,161,24,67,0.25132275132275134,0.082010582010582,0.42592592592592593,0.06349206349206349,0.17724867724867724,166,3,39.707835036602155
139,3,7,83,121,155,29,24,0.20145631067961164,0.2936893203883495,0.3762135922330097,0.0703883495145631,0.05825242718446602,150,9,49.93343529724697
472,13,6,23,52,40,3,51,0.13609467455621302,0.3076923076923077,0.23668639053254437,0.01775147928994083,0.30177514792899407,306,14,47.71249088108941
63,15,2,78,133,128,45,54,0.1780821917808219,0.3036529680365297,0.2922374429223744,0.10273972602739725,0.1232876712328767,170,10,29.609589041095894
159,18,5,68,30,95,27,68,0.2361111111111111,0.10416666666666667,0.3298611111111111,0.09375,0.2361111111111111,338,11,42.70305365296804
267,4,6,28,24,168,8,17,0.11428571428571428,0.09795918367346938,0.6857142857142857,0.0326530612244898,0.06938775510204082,46,9,63.038300251607495
401,4,1,45,45,108,12,38,0.1814516129032258,0.1814516129032258,0.43548387096774194,0.04838709677419355,0.1532258064516129,132,2,37.48967079098542
63,13,1,78,96,20,20,66,0.2785714285714286,0.34285714285714286,0.07142857142857142,0.07142857142857142,0.2357142857142857,57,14,10.923679060665362
303,6,2,44,65,68,20,28,0.19555555555555557,0.28888888888888886,0.3022222222222222,0.08888888888888889,0.12444444444444444,353,12,36.61339421613394
491,1,1,87,80,67,43,37,0.2770700636942675,0.25477707006369427,0.21337579617834396,0.13694267515923567,0.1178343949044586,281,14,30.56906029142309
131,18,3,83,133,188,14,59,0.1740041928721174,0.27882599580712786,0.3941299790356394,0.029350104821802937,0.12368972746331237,32,10,33.297894948450654
151,10,6,100,21,159,25,59,0.27472527472527475,0.057692307692307696,0.4368131868131868,0.06868131868131869,0.1620879120879121,178,12,37.96033418636158
131,7,5,49,109,77,3,37,0.1781818181818182,0.39636363636363636,0.28,0.01090909090909091,0.13454545454545455,341,6,46.062141967621415
376,16,2,28,63,120,14,40,0.10566037735849057,0.23773584905660378,0.4528301886792453,0.052830188679245285,0.1509433962264151,68,8,38.629620056862244
386,11,4,19,45,44,26,34,0.1130952380952381,0.26785714285714285,0.2619047619047619,0.15476190476190477,0.20238095238095238,225,4,46.254810828440974
52,1,1,76,122,119,44,20,0.1994750656167979,0.32020997375328086,0.3123359580052493,0.11548556430446194,0.05249343832020997,119,6,35.74431021464783
